num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
90,0.9,complete,0.25,5,200,4,1.9771550129485755
10,0.25,erdos_renyi,0.99,10,200,11,2.7611111111111115
50,0.25,erdos_renyi,0.75,9,50,51,23.242371395951224
100,0.99,barabasi_albert,0.75,3,500,51,21.549828178694156
90,0.25,barabasi_albert,0.1,10,1000,11,4.674242424242425
75,0.75,erdos_renyi,0.75,6,1000,51,24.313967657910577
50,0.9,erdos_renyi,0.1,5,100,4,1.9816221616362444
10,0.9,barabasi_albert,0.5,10,200,11,4.30952380952381
75,0.5,complete,0.1,8,50,11,5.402307137707282
50,0.5,complete,0.99,2,50,4,1.8562091503267972
75,0.25,complete,0.99,7,50,4,1.8470418470418473
25,0.99,erdos_renyi,0.5,5,50,101,47.87032371354405
10,0.99,barabasi_albert,0.75,9,500,51,15.466666666666667
25,0.9,barabasi_albert,0.1,9,200,501,209.73170731707316
100,0.1,erdos_renyi,0.9,3,500,101,41.95097739257489
90,0.1,barabasi_albert,0.99,9,1000,51,13.92156862745098
50,0.1,complete,0.25,4,1000,11,4.991803278688525
10,0.9,complete,0.25,6,1000,4,1.7249999999999999
